"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
853000,590000,"michigan_south",0,0.0738352,NA,0.0079376,0.5398308,0.0010212,0.0026248,NA,0.0010104,0.038304,1.12e-05,0.000242,0.0132916,0.0070976,0.0262012,0.230506,0.0001256,3.24e-05,0.039472,0.0010924,0.002816,0.0013852,6.84e-05,0.0130944
861000,590000,"michigan_south",0,0.1149476,NA,0.01347,0.4219448,0.001396,0.0072456,NA,0.0017068,0.0645188,2.12e-05,0.0002716,0.0139676,0.0143448,0.0698524,0.2204736,0.0001956,7.24e-05,0.0299428,0.0024624,0.0032992,0.0012436,0.0001468,0.0184764
869000,590000,"michigan_south",0,0.1573512,NA,0.0240688,0.4978244,0.00129,0.0061936,NA,0.002006,0.0872628,1.64e-05,0.0002636,0.0136428,0.0121792,0.05657,0.1131264,0.0002584,7.28e-05,0.0132076,0.002654,0.0026432,0.0006824,0.0001736,0.0085128
877000,590000,"michigan_south",0,0.1097576,NA,0.0227724,0.5194084,0.0010752,0.0100288,NA,0.0023976,0.0681652,1.36e-05,0.0002524,0.0220572,0.01152,0.0881972,0.094872,0.00016,9.8e-05,0.0334504,0.0038716,0.00194,0.0005836,0.0001888,0.00919
885000,590000,"michigan_south",0,0.0909524,NA,0.0185016,0.364258,0.0012272,0.008178,NA,0.0061028,0.0716304,2.16e-05,0.0001696,0.0149768,0.0151264,0.086152,0.2375376,0.000408,0.000104,0.0494088,0.0078092,0.0025008,0.0003852,0.0002844,0.0242652
893000,590000,"michigan_south",0,0.079896,NA,0.0164268,0.227234,0.0011284,0.0058764,NA,0.0016504,0.0920144,1.52e-05,0.0001516,0.0271328,0.0163244,0.0513792,0.37645,0.0003224,9.48e-05,0.0750552,0.0060168,0.002276,0.0004212,0.0002148,0.0199192
901000,590000,"michigan_south",0,0.092674,NA,0.0260712,0.4422772,0.0025436,0.0075508,NA,0.0013816,0.1028528,4.52e-05,0.0003084,0.0158008,0.0625392,0.1164896,0.0721032,0.00074,0.0001348,0.0191868,0.0066452,0.0062612,0.0003668,0.0004164,0.0236112
909000,590000,"michigan_south",0,0.14656,NA,0.0408696,0.4396032,0.0018356,0.0038704,NA,0.0014532,0.084968,4.68e-05,0.0003068,0.0350012,0.0488152,0.0554856,0.0269892,0.0005144,0.0002088,0.0335692,0.0062484,0.0348772,0.0003496,0.0004236,0.038004
917000,590000,"michigan_south",0,0.1908048,NA,0.021226,0.3826148,0.0010276,0.0021412,NA,0.0012808,0.0485944,3.2e-05,0.0002064,0.0319768,0.0393976,0.055498,0.1345,0.0003324,0.0001272,0.0652476,0.0035376,0.0074452,0.000236,0.000348,0.0134256
925000,590000,"michigan_south",0,0.1290376,NA,0.0366428,0.4507968,0.0008788,0.0024188,NA,0.000948,0.0583312,5.2e-05,0.0002648,0.0146564,0.0222968,0.084544,0.1234732,0.0003512,0.000136,0.0338828,0.0046768,0.0157448,0.0002196,0.0003688,0.0202788
933000,590000,"michigan_south",0,0.1028208,NA,0.0591408,0.0950868,0.0010104,0.001736,NA,0.000916,0.1183136,5.48e-05,0.000274,0.0420456,0.0153588,0.0840288,0.4098132,0.0005044,0.0001624,0.0148908,0.0221524,0.0085692,0.000254,0.000652,0.0222152
941000,590000,"michigan_south",0,0.1670232,NA,0.057932,0.0527984,0.0008644,0.0016984,NA,0.0009988,0.1071744,5.2e-05,0.0002804,0.1040152,0.019146,0.0456808,0.3726708,0.000244,0.0001728,0.0033452,0.0116092,0.0166636,0.0002928,0.0008348,0.0365028
